2025-06-27 00:00:09,524 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:09.5241560Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:09,742 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:09.7420730Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:09,745 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:09.7452860Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:09,955 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:09.9551460Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:09,959 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:09.9591020Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:10,147 [7] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:10.1473490Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:10,150 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:10.1506320Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:10,362 [7] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:10.3628230Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:10,367 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:10.3673890Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:10,579 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:10.5794800Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:10,584 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:10.5845970Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:10,766 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:10.7663010Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:10,769 [14] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:10.7696080Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:10,969 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:10.9696430Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:10,971 [9] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:10.9716640Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:11,167 [11] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:11.1676700Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
2025-06-27 00:00:11,171 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:11.1718330Z, Method: GET, Path: /notificationhub, User: Anonymous
2025-06-27 00:00:11,374 [15] INFO  LeaveManagementSystem.Middlewares.ExceptionHandlingMiddleware - [Incoming Request] Timestamp: 2025-06-26T18:30:11.3748860Z, Method: POST, Path: /notificationhub/negotiate, User: Anonymous
